Player,Pos,Ht,Wt,Forty,Vertical,BenchReps,BroadJump,Cone,Shuttle,Year,Pfr_ID,AV,Team,Round,Pick,YardsfromScrimmage,CareerLength
John Ross,WR,71,188,4.22,37,,133,,,2017,RossJo00,0,Bengals,1,9,758,3
Donte' Stallworth,WR,72,197,4.22,,,,,,2002,StalDo00,19,Saints,1,13,4935,10
Chris Johnson,RB,71,197,4.24,35,,130,,,2008,JohnCh04,43,Titans,1,24,11906,10
Dri Archer,WR,68,173,4.26,38,20,122,6.86,4.06,2014,ArchDr00,0,Steelers,3,97,22,2
Marquise Goodwin,WR,69,183,4.27,,13,132,,,2013,GoodMa00,2,Bills,3,78,2412,7
Stanford Routt,CB,73,193,4.27,36.5,,129,6.63,3.9,2005,RoutSt20,8,Raiders,2,38,,
J.J. Nelson,WR,70,156,4.28,36,,127,7.02,4.15,2015,NelsJJ00,12,Cardinals,5,159,1595,5
Jerome Mathis,WR,71,181,4.28,35.5,,123,,,2005,MathJe00,4,Texans,4,114,80,3
Jalen Myrick,CB,70,200,4.28,37.5,13,124,7.06,4.22,2017,MyriJa00,0,Jaguars,7,222,,
Demarcus Van Dyke,CB,73,176,4.28,33.5,5,121,6.97,4.09,2011,VanDDe00,3,Raiders,3,81,,
Jacoby Ford,WR,69,186,4.28,33.5,15,115,7,4.44,2010,FordJa01,11,Raiders,4,108,1049,4
Dominique Rodgers-Cromartie,CB,73,184,4.29,38.5,17,131,6.74,4.17,2008,RodgDo99,21,Cardinals,1,16,,
Josh Robinson-01,CB,70,199,4.29,38.5,17,133,6.55,3.97,2012,RobiJo01,9,Vikings,3,66,,
Fabian Washington,CB,70,188,4.29,41.5,18,129,,3.91,2005,WashFa20,11,Raiders,1,23,,
Yamon Figurs,WR,71,174,4.3,,,123,6.85,4.21,2007,FiguYa00,2,Ravens,3,74,96,4
Darrent Williams,CB,69,176,4.3,39,16,124,6.97,3.96,2005,WillDa21,10,Broncos,2,56,,
Mike Thomas,WR,68,195,4.3,40.5,,126,6.65,4.28,2009,ThomMi01,20,Jaguars,4,107,2064,4
Darrius Heyward-Bey,WR,74,210,4.3,38.5,16,126,6.8,4.18,2009,HeywDa00,13,Raiders,1,7,3091,10
Patrick Peterson,CB,72,219,4.31,38,15,126,6.58,4.07,2011,PetePa00,48,Cardinals,1,5,,
Curtis Samuel,WR,71,196,4.31,37,18,119,7.09,4.33,2017,SamuCu00,2,Panthers,2,40,2565,4
Johnathan Joseph,CB,71,193,4.31,37,15,123,6.92,4.23,2006,JoseJo20,13,Bengals,1,24,,
Travis Benjamin,WR,70,172,4.31,38,14,119,,,2012,BenjTr00,7,Browns,4,100,3411,8
Tiquan Underwood,WR,73,184,4.31,41.5,7,129,6.62,4.11,2009,UndeTi00,1,Jaguars,7,253,1007,4
Justin King,CB,71,192,4.31,34,14,127,7.14,4.31,2008,KingJu99,9,Rams,4,101,,
Clyde Gates,WR,72,192,4.31,40,16,131,,,2011,GateCl00,3,Dolphins,4,111,381,3
Trae Waynes,CB,72,186,4.31,38,19,122,7.06,4.39,2015,WaynTr00,10,Vikings,1,11,,
Santana Moss,WR,70,184,4.31,,,,,,2001,MossSa00,18,Jets,1,16,10570,14
Phillip Buchanon,CB,70,186,4.31,,,,,,2002,BuchPh20,16,Raiders,1,17,,
Tyvon Branch,CB,71,204,4.31,34,19,120,,4.4,2008,BranTy99,12,Raiders,4,100,,
Deon Butler,WR,70,182,4.31,34.5,12,118,7.01,4.48,2009,ButlDe00,4,Seahawks,3,91,617,4
Aaron Lockett,WR,67,155,4.31,35,,119,6.84,4.11,2002,,0,Buccaneers,7,254,0,2
